"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Sandpoint","Idaho","","Christian Identity ","","","2000"
"14 Words Press","St. Maries","Idaho","","White Nationalist ","","","2000"
"2YT4U","Ferndale","Michigan","","Racist Skinhead ","","","2000"
"88 Enterprises","Canton","Ohio","","General Hate ","","","2000"
"Alabama White Knights of the KKK","Anniston","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Birmingham","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Clanton","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Gadsden","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Jasper","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Moody","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Pelham","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Robersdale","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Satsuma","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Springville","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Valley","Alabama","","Ku Klux Klan ","","","2000"
"Alabama White Knights of the KKK","Wilton","Alabama","","Ku Klux Klan ","","","2000"
"America's Invisible Empire Knights of the KKK","Alexandria","Louisiana","","Christian Identity ","","","2000"
"America's Invisible Empire Knights of the KKK","Eva","Alabama","","Christian Identity ","","","2000"
"America's Invisible Empire Knights of the KKK","Hartselle","Alabama","","Christian Identity ","","","2000"
"America's Invisible Empire Knights of the KKK","Midland City","Alabama","","Christian Identity ","","","2000"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2000"
"American Friends of the British National Party","Falls Church","Virginia","","General Hate ","","","2000"
"American Front","Harrison","Arkansas","","Racist Skinhead ","","","2000"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2000"
"American Knights of the Ku Klux Klan","Butler","Indiana","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Cedarville","Arkansas","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Collinsville","Oklahoma","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Goshen","Indiana","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Mauriceville","Texas","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Memphis","Tennessee","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Newburgh","New York","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Nixa","Missouri","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Orlando","Florida","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Prospect","Pennsylvania","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","San Antonio","Texas","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Welsh","Louisiana","","Ku Klux Klan ","","","2000"
"American Knights of the Ku Klux Klan","Woodridge","Virginia","","Ku Klux Klan ","","","2000"
"American Nazi Party","Eastpointe","Michigan","","Neo-Nazi","","","2000"
"American Nazi Party","Foley","Alabama","","Neo-Nazi","","","2000"
"American Third Position","Arvada","Colorado","","White Nationalist ","","","2000"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2000"
"Aryan Christian Knights of the Ku Klux Klan","Brown Summitt","North Carolina","","Ku Klux Klan ","","","2000"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2000"
"Aryan Knights of the Confederacy Ku Klux Klan","Bellefontaine","Ohio","","Ku Klux Klan ","","","2000"
"Aryan Nations","Marion","Ohio","","Neo-Nazi","","","2000"
"Aryan Nations","Rapid City","South Dakota","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","Billings","Montana","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","Bismark","North Dakota","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","Bryans Road","Maryland","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","De Beque","Colorado","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","Easton","Pennsylvania","","Neo-Nazi","","","2000"
"Aryan Nations/Aryan National Alliance","Escondido","California","","Neo-Nazi","","","2000"
